source,browser,sex,age,country_name,n_device_occur,signup_month,signup_day,signup_day_name,purchase_month,purchase_day,purchase_day_name,purchase_over_time,class
Ads,IE,M,37,United Kingdom,1,5,28,Thursday,6,9,Tuesday,21000.0,0
SEO,Safari,F,28,Italy,1,7,7,Tuesday,11,4,Wednesday,1555.5555555555557,0
Direct,Opera,M,49,China,1,1,14,Wednesday,3,10,Tuesday,4500.0,0
SEO,FireFox,M,36,United States,1,3,20,Friday,4,9,Thursday,11500.0,0
Ads,IE,F,21,Norway,1,3,25,Wednesday,6,10,Wednesday,3666.6666666666665,0
Ads,FireFox,M,31,United States,1,6,14,Sunday,7,19,Sunday,20333.333333333332,0
SEO,Chrome,M,43,United States,1,6,21,Sunday,7,18,Saturday,25500.0,0
Ads,IE,M,40,Tunisia,1,8,9,Sunday,8,14,Friday,inf,0
Direct,Safari,M,32,India,11,1,3,Saturday,1,3,Saturday,inf,1
SEO,Safari,M,50,Iran (ISLAMIC Republic Of),1,2,15,Sunday,4,16,Thursday,9400.0,0
SEO,Chrome,M,35,Unknown Country,1,1,24,Saturday,5,7,Thursday,2875.0,0
SEO,FireFox,F,34,Unknown Country,9,1,6,Tuesday,1,6,Tuesday,inf,1
Ads,Safari,M,45,China,1,1,11,Sunday,1,15,Thursday,inf,0
Direct,Safari,F,41,United States,1,3,23,Monday,5,10,Sunday,8250.0,0
SEO,Chrome,M,43,Venezuela,1,6,26,Friday,8,6,Thursday,12333.333333333334,0
SEO,Chrome,M,31,Spain,1,7,19,Sunday,8,11,Tuesday,21500.0,0
Ads,Chrome,M,28,Unknown Country,1,4,21,Tuesday,5,16,Saturday,18500.0,0
SEO,Chrome,F,29,United States,1,6,27,Saturday,7,18,Saturday,28000.0,0
Ads,Safari,M,24,United States,1,7,8,Wednesday,10,18,Sunday,3000.0,0
SEO,FireFox,M,38,United States,1,4,12,Sunday,5,26,Tuesday,11000.0,0
SEO,Chrome,M,36,United States,1,1,27,Tuesday,5,26,Tuesday,8666.666666666666,0
SEO,Chrome,M,41,Japan,1,5,27,Wednesday,9,22,Tuesday,5666.666666666667,0
SEO,IE,F,22,United States,1,8,2,Sunday,11,8,Sunday,1750.0,0
Direct,Safari,F,33,United Kingdom,1,6,14,Sunday,8,12,Wednesday,3800.0,0
Ads,Safari,F,46,Netherlands,1,7,6,Monday,7,25,Saturday,39000.0,0
Direct,Chrome,M,35,United States,1,3,3,Tuesday,3,29,Sunday,5500.0,0
SEO,Opera,F,22,United States,17,1,12,Monday,1,12,Monday,inf,1
Ads,Safari,M,33,United States,1,8,13,Thursday,10,14,Wednesday,7200.0,0
SEO,Chrome,F,33,United States,1,5,8,Friday,7,31,Friday,2000.0,0
Ads,FireFox,M,28,Sweden,1,3,1,Sunday,5,22,Friday,4166.666666666667,0
SEO,FireFox,M,23,Unknown Country,1,7,11,Saturday,10,19,Monday,5250.0,0
Ads,IE,M,41,Korea Republic of,13,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,IE,F,43,United States,1,4,20,Monday,4,21,Tuesday,inf,0
SEO,Chrome,M,30,Japan,1,4,3,Friday,6,23,Tuesday,9000.0,0
Ads,FireFox,F,29,India,1,2,20,Friday,5,20,Wednesday,5000.0,0
Ads,FireFox,M,38,United States,1,6,21,Sunday,7,16,Thursday,18500.0,0
SEO,IE,F,32,United States,14,1,5,Monday,1,5,Monday,inf,1
SEO,IE,M,40,Viet Nam,1,3,29,Sunday,4,10,Friday,50000.0,0
SEO,IE,F,30,Japan,1,5,15,Friday,6,27,Saturday,4000.0,0
Direct,Safari,F,30,Japan,1,3,24,Tuesday,5,24,Sunday,3000.0,0
Ads,Chrome,M,26,Taiwan; Republic of China (ROC),1,4,3,Friday,5,30,Saturday,1800.0,0
Direct,FireFox,M,29,United States,1,2,22,Sunday,5,7,Thursday,3000.0,0
Direct,FireFox,M,25,Canada,1,6,20,Saturday,7,5,Sunday,26000.0,0
Direct,IE,F,48,Turkey,1,2,14,Saturday,4,29,Wednesday,10833.333333333334,0
SEO,IE,F,43,Taiwan; Republic of China (ROC),1,2,7,Saturday,5,8,Friday,4285.714285714285,0
SEO,Safari,M,32,United States,1,6,27,Saturday,10,9,Friday,4750.0,0
Ads,Safari,M,29,China,1,1,2,Friday,1,24,Saturday,23500.0,0
Ads,FireFox,F,45,Unknown Country,1,7,4,Saturday,9,24,Thursday,12000.0,0
SEO,Safari,M,36,Unknown Country,1,1,30,Friday,3,10,Tuesday,18666.666666666668,0
SEO,IE,F,25,Bulgaria,1,8,5,Wednesday,9,1,Tuesday,21500.0,0
Direct,Chrome,M,26,Unknown Country,1,5,29,Friday,7,10,Friday,21333.333333333332,1
Ads,IE,F,34,United States,1,1,27,Tuesday,2,28,Saturday,6000.0,0
SEO,IE,M,29,Unknown Country,1,4,1,Wednesday,4,22,Wednesday,14500.0,0
Ads,Chrome,M,28,Unknown Country,1,8,7,Friday,11,15,Sunday,3750.0,0
Direct,Chrome,M,36,United States,1,2,16,Monday,4,27,Monday,12833.333333333334,0
Direct,IE,F,33,United States,1,3,28,Saturday,7,7,Tuesday,4750.0,0
Direct,IE,M,24,United Kingdom,1,7,21,Tuesday,7,23,Thursday,inf,0
SEO,Chrome,M,39,Japan,1,7,17,Friday,9,7,Monday,6000.0,0
Ads,Chrome,F,23,United States,1,7,17,Friday,10,11,Sunday,11428.57142857143,0
Direct,Safari,M,35,United States,1,3,9,Monday,5,6,Wednesday,2000.0,0
Direct,Opera,M,31,United States,1,6,2,Tuesday,7,10,Friday,20000.0,0
Direct,Chrome,F,40,Korea Republic of,1,8,12,Wednesday,11,13,Friday,3571.4285714285716,0
Direct,Safari,F,37,China,1,1,16,Friday,2,26,Thursday,20666.666666666668,0
SEO,Chrome,F,40,United States,2,1,29,Thursday,2,5,Thursday,25000.0,0
SEO,Chrome,M,36,China,14,1,12,Monday,1,12,Monday,inf,1
SEO,IE,M,18,United States,1,1,7,Wednesday,2,10,Tuesday,9333.333333333334,0
Ads,Safari,F,39,United States,1,8,12,Wednesday,9,8,Tuesday,5000.0,0
Ads,IE,M,20,Japan,1,5,30,Saturday,5,30,Saturday,inf,0
Ads,Chrome,M,45,United States,15,1,8,Thursday,1,8,Thursday,inf,1
Ads,IE,F,30,United States,1,4,27,Monday,5,1,Friday,inf,1
SEO,Chrome,F,20,Unknown Country,1,2,25,Wednesday,6,13,Saturday,2111.1111111111113,0
SEO,Safari,M,31,United Kingdom,1,4,19,Sunday,8,14,Friday,3777.777777777778,0
Ads,Chrome,M,18,Japan,1,2,6,Friday,2,16,Monday,45000.0,0
Direct,IE,M,33,United States,1,3,21,Saturday,6,29,Monday,2625.0,0
Direct,FireFox,M,39,United States,1,2,3,Tuesday,5,18,Monday,5125.0,0
SEO,IE,M,38,Germany,1,2,2,Monday,3,20,Friday,8000.0,0
Direct,Chrome,M,42,United States,1,3,30,Monday,6,21,Sunday,7428.571428571428,1
Ads,Chrome,F,31,United States,1,3,13,Friday,6,1,Monday,1666.6666666666667,0
SEO,Chrome,M,45,China,2,4,1,Wednesday,5,21,Thursday,2750.0,0
Ads,Chrome,M,29,Korea Republic of,1,7,18,Saturday,9,7,Monday,13000.0,0
Ads,Chrome,M,29,Japan,1,2,13,Friday,4,27,Monday,1833.3333333333333,0
SEO,IE,M,33,Romania,1,7,25,Saturday,8,21,Friday,33500.0,0
Direct,Chrome,F,43,Lithuania,1,5,9,Saturday,6,15,Monday,12000.0,0
Direct,Chrome,M,21,United States,1,4,5,Sunday,6,2,Tuesday,5600.0,0
Ads,Chrome,F,37,United States,1,2,12,Thursday,5,4,Monday,9000.0,0
Ads,Chrome,F,22,United States,1,1,26,Monday,2,18,Wednesday,10000.0,0
SEO,FireFox,F,43,United States,2,7,3,Friday,8,30,Sunday,11800.0,0
Ads,Chrome,F,19,Germany,1,6,5,Friday,9,25,Friday,3777.777777777778,0
SEO,Safari,F,20,United States,12,1,2,Friday,1,2,Friday,inf,1
SEO,Chrome,M,41,Japan,1,2,24,Tuesday,3,14,Saturday,11000.0,0
Direct,Chrome,M,18,United States,1,6,10,Wednesday,8,30,Sunday,5833.333333333333,0
SEO,Chrome,F,37,Brazil,1,4,10,Friday,5,15,Friday,12333.333333333334,0
SEO,IE,M,26,United Kingdom,1,3,16,Monday,6,13,Saturday,7571.428571428572,0
Direct,Chrome,F,27,Japan,1,3,26,Thursday,5,18,Monday,11750.0,0
Ads,Chrome,F,33,United States,1,8,15,Saturday,10,17,Saturday,4200.0,0
Direct,Chrome,F,33,Unknown Country,13,1,5,Monday,1,5,Monday,inf,1
Direct,FireFox,M,21,Unknown Country,1,5,5,Tuesday,5,11,Monday,inf,0
SEO,Chrome,M,27,Viet Nam,1,2,15,Sunday,5,4,Monday,8666.666666666666,0
Direct,Chrome,F,54,United States,1,5,14,Thursday,7,23,Thursday,2666.6666666666665,0
Ads,IE,F,36,Canada,1,2,13,Friday,4,4,Saturday,24000.0,0
SEO,FireFox,F,31,Unknown Country,1,3,14,Saturday,5,4,Monday,11500.0,0
SEO,Chrome,F,30,Unknown Country,1,1,31,Saturday,4,25,Saturday,2714.285714285714,0
Ads,IE,F,24,United States,1,3,3,Tuesday,6,12,Friday,7375.0,0
Direct,Opera,F,35,Unknown Country,1,1,14,Wednesday,3,26,Thursday,8500.0,0
SEO,Chrome,F,43,Unknown Country,2,3,31,Tuesday,6,10,Wednesday,2833.3333333333335,1
SEO,Chrome,M,32,Unknown Country,1,7,25,Saturday,9,3,Thursday,13000.0,0
Ads,Safari,F,44,United States,1,8,7,Friday,10,21,Wednesday,7500.0,0
Direct,Chrome,M,28,United States,1,6,29,Monday,7,29,Wednesday,22500.0,0
Ads,IE,F,52,China,1,8,3,Monday,8,26,Wednesday,43500.0,0
SEO,IE,F,36,United States,1,4,7,Tuesday,5,27,Wednesday,11750.0,0
SEO,IE,M,48,China,1,4,28,Tuesday,5,23,Saturday,23500.0,0
Direct,Safari,F,38,Philippines,1,3,16,Monday,3,27,Friday,68000.0,0
Ads,Chrome,M,23,United States,1,8,2,Sunday,8,12,Wednesday,49000.0,0
SEO,Chrome,M,43,China,1,8,6,Thursday,11,4,Wednesday,7285.714285714285,0
Ads,Chrome,M,18,United States,1,6,15,Monday,9,1,Tuesday,8333.333333333334,0
SEO,Safari,M,24,Switzerland,8,1,12,Monday,1,12,Monday,inf,1
Ads,Safari,F,47,Unknown Country,1,5,22,Friday,6,27,Saturday,13000.0,0
SEO,FireFox,M,30,Romania,1,7,1,Wednesday,10,9,Friday,5375.0,0
Ads,IE,M,48,United States,1,8,13,Thursday,10,18,Sunday,5000.0,0
Ads,Chrome,F,23,Unknown Country,1,3,24,Tuesday,4,7,Tuesday,74000.0,0
Ads,Chrome,M,27,Poland,1,1,2,Friday,2,25,Wednesday,13000.0,0
SEO,Chrome,M,25,United Kingdom,1,4,3,Friday,5,30,Saturday,2000.0,0
SEO,FireFox,M,36,United States,1,1,28,Wednesday,2,7,Saturday,45000.0,0
SEO,FireFox,F,37,Unknown Country,1,3,21,Saturday,4,17,Friday,30000.0,0
Direct,FireFox,M,37,Italy,1,7,17,Friday,10,25,Sunday,5875.0,0
SEO,FireFox,M,42,United States,1,8,15,Saturday,8,30,Sunday,51000.0,0
Ads,Opera,F,25,Norway,1,2,18,Wednesday,4,25,Saturday,8000.0,0
SEO,Chrome,M,29,Romania,1,4,13,Monday,7,30,Thursday,1888.888888888889,0
SEO,Chrome,M,53,Denmark,1,1,16,Friday,3,1,Sunday,10000.0,0
Ads,Chrome,F,41,United States,1,4,9,Thursday,5,13,Wednesday,11666.666666666666,0
Direct,Chrome,M,36,Venezuela,1,5,30,Saturday,6,5,Friday,inf,0
Direct,IE,M,38,Kuwait,1,4,12,Sunday,8,3,Monday,2888.8888888888887,0
SEO,Chrome,F,37,Canada,1,4,3,Friday,5,22,Friday,8250.0,0
Ads,Safari,M,29,Australia,1,1,15,Thursday,5,5,Tuesday,7000.0,0
SEO,Chrome,M,39,Unknown Country,7,5,3,Sunday,6,16,Tuesday,6666.666666666667,0
SEO,FireFox,F,22,Australia,1,5,7,Thursday,8,30,Sunday,1666.6666666666667,0
Ads,Chrome,F,29,China,1,1,9,Friday,2,14,Saturday,19666.666666666668,0
Ads,FireFox,F,32,Unknown Country,1,3,5,Thursday,6,26,Friday,3555.5555555555557,0
Ads,Chrome,F,30,Angola,1,4,16,Thursday,6,27,Saturday,3000.0,0
SEO,FireFox,M,35,United States,12,1,12,Monday,1,12,Monday,inf,1
SEO,Chrome,M,26,Italy,1,2,2,Monday,2,24,Tuesday,16000.0,0
SEO,Chrome,F,20,Unknown Country,1,5,14,Thursday,6,9,Tuesday,15000.0,0
SEO,IE,F,37,Unknown Country,1,6,11,Thursday,6,20,Saturday,55000.0,0
Ads,FireFox,F,21,United States,1,7,3,Friday,10,27,Tuesday,6888.888888888889,0
SEO,Chrome,M,32,Korea Republic of,1,2,22,Sunday,5,27,Wednesday,5857.142857142857,0
Ads,Opera,M,25,United States,1,7,15,Wednesday,9,5,Saturday,15750.0,0
Ads,Chrome,F,43,United States,1,1,18,Sunday,1,30,Friday,34000.0,0
Direct,Chrome,M,33,United States,1,5,6,Wednesday,8,9,Sunday,3875.0,0
Ads,IE,F,34,Unknown Country,1,1,26,Monday,5,25,Monday,5222.222222222223,0
SEO,IE,F,44,United States,1,5,10,Sunday,8,2,Sunday,3714.285714285714,0
Direct,Chrome,M,22,United States,1,6,5,Friday,9,3,Thursday,6142.857142857143,0
Ads,IE,M,27,Nepal,1,8,17,Monday,8,31,Monday,29000.0,0
Ads,Chrome,F,42,United States,1,2,23,Monday,4,8,Wednesday,25333.333333333332,0
SEO,Chrome,M,42,Chile,1,4,21,Tuesday,7,17,Friday,6857.142857142857,1
Ads,Safari,F,23,United States,1,3,1,Sunday,5,9,Saturday,7400.0,0
Ads,IE,M,27,Unknown Country,1,5,24,Sunday,7,27,Monday,11200.0,0
SEO,Safari,F,54,Unknown Country,1,8,16,Sunday,11,27,Friday,4375.0,0
Ads,IE,F,36,United States,1,7,30,Thursday,10,26,Monday,6428.571428571428,0
SEO,Chrome,M,39,United States,1,6,8,Monday,9,20,Sunday,3250.0,0
Direct,Chrome,F,37,Korea Republic of,1,7,29,Wednesday,9,28,Monday,7200.0,0
Direct,IE,M,28,United States,2,7,6,Monday,7,28,Tuesday,11500.0,0
SEO,FireFox,M,28,China,1,7,24,Friday,7,28,Tuesday,inf,0
Ads,IE,M,22,United States,1,2,7,Saturday,4,15,Wednesday,2800.0,0
SEO,Chrome,M,49,Unknown Country,1,5,3,Sunday,8,14,Friday,5000.0,0
Ads,IE,M,24,Germany,1,7,5,Sunday,10,23,Friday,3888.8888888888887,0
SEO,Chrome,F,34,Japan,1,5,4,Monday,5,27,Wednesday,11500.0,0
SEO,Chrome,M,30,South Africa,1,8,6,Thursday,10,25,Sunday,2333.3333333333335,0
Direct,Chrome,M,33,United States,1,2,8,Sunday,5,13,Wednesday,5428.571428571428,0
Direct,IE,F,31,Unknown Country,1,4,9,Thursday,5,20,Wednesday,9666.666666666666,0
SEO,IE,F,55,Kuwait,1,7,1,Wednesday,7,5,Sunday,inf,0
Ads,Chrome,M,38,United States,1,5,8,Friday,5,19,Tuesday,13000.0,0
SEO,Safari,M,29,United States,1,6,30,Tuesday,9,11,Friday,6000.0,0
SEO,FireFox,M,31,Japan,1,5,29,Friday,7,31,Friday,7200.0,0
Direct,Safari,F,21,Spain,1,2,17,Tuesday,4,14,Tuesday,12000.0,0
SEO,FireFox,F,42,United States,1,6,10,Wednesday,7,22,Wednesday,11666.666666666666,0
Ads,FireFox,M,23,United States,1,4,4,Saturday,7,11,Saturday,3500.0,0
SEO,Chrome,M,36,Kuwait,1,4,20,Monday,5,5,Tuesday,21000.0,0
Ads,Chrome,M,36,United States,1,1,22,Thursday,4,18,Saturday,8285.714285714286,0
Ads,IE,M,26,Netherlands,1,6,10,Wednesday,7,16,Thursday,15666.666666666666,0
Direct,FireFox,M,30,Korea Republic of,2,2,8,Sunday,5,9,Saturday,5857.142857142857,0
Ads,Chrome,M,36,Dominican Republic,1,2,26,Thursday,4,29,Wednesday,14200.0,0
Ads,FireFox,M,28,United States,1,3,13,Friday,6,9,Tuesday,2571.4285714285716,0
Direct,IE,M,35,United States,10,1,7,Wednesday,1,7,Wednesday,inf,1
Direct,IE,F,26,United States,1,3,5,Thursday,3,19,Thursday,34000.0,0
Ads,Chrome,M,45,United States,1,6,27,Saturday,8,29,Saturday,9200.0,0
SEO,IE,F,24,United States,1,7,11,Saturday,9,4,Friday,13000.0,0
Ads,Safari,M,39,United States,1,6,26,Friday,8,8,Saturday,19000.0,0
Ads,FireFox,F,33,India,1,7,1,Wednesday,8,11,Tuesday,7666.666666666667,0
SEO,FireFox,F,60,China,1,8,14,Friday,10,26,Monday,6000.0,0
SEO,Safari,F,24,Unknown Country,1,3,8,Sunday,4,11,Saturday,23333.333333333332,0
SEO,IE,M,31,Unknown Country,2,2,13,Friday,3,9,Monday,8000.0,0
SEO,FireFox,F,30,United States,1,5,22,Friday,8,26,Wednesday,4500.0,0
Ads,Opera,M,26,United States,1,3,28,Saturday,4,24,Friday,16500.0,0
SEO,Chrome,M,26,France,1,5,28,Thursday,7,20,Monday,3750.0,0
Ads,IE,M,23,Mexico,1,3,5,Thursday,3,14,Saturday,38000.0,0
Ads,FireFox,M,30,India,1,7,5,Sunday,8,18,Tuesday,5666.666666666667,0
Direct,IE,M,37,Unknown Country,11,1,11,Sunday,1,11,Sunday,inf,1
SEO,FireFox,M,42,Taiwan; Republic of China (ROC),1,1,14,Wednesday,1,26,Monday,18000.0,0
SEO,FireFox,F,32,Unknown Country,1,4,18,Saturday,5,7,Thursday,33000.0,0
Ads,FireFox,M,24,Unknown Country,1,2,21,Saturday,6,8,Monday,3625.0,0
SEO,Chrome,M,27,Unknown Country,1,3,1,Sunday,5,3,Sunday,8400.0,0
Ads,Chrome,M,48,United States,1,7,18,Saturday,10,9,Friday,5428.571428571428,0
Ads,Safari,M,42,Australia,1,3,9,Monday,6,8,Monday,3857.1428571428573,0
SEO,Chrome,M,31,United States,1,2,25,Wednesday,5,10,Sunday,3333.3333333333335,0
Direct,Chrome,F,35,United States,1,6,30,Tuesday,7,28,Tuesday,11500.0,0
SEO,Safari,M,36,Canada,1,7,13,Monday,7,25,Saturday,80000.0,0
Ads,IE,F,21,United States,1,6,5,Friday,7,31,Friday,25500.0,0
SEO,FireFox,F,32,China,1,5,18,Monday,8,15,Saturday,4714.285714285715,0
Direct,IE,M,22,United States,1,4,9,Thursday,5,27,Wednesday,10000.0,0
SEO,IE,M,37,United Kingdom,1,3,7,Saturday,4,19,Sunday,15000.0,1
SEO,FireFox,M,42,Malaysia,1,4,17,Friday,6,5,Friday,6750.0,0
Direct,FireFox,M,47,China,1,2,20,Friday,3,6,Friday,11000.0,0
Ads,Chrome,F,42,United States,1,2,4,Wednesday,4,23,Thursday,2333.3333333333335,0
Direct,Chrome,M,30,United States,1,5,4,Monday,5,5,Tuesday,inf,0
SEO,Chrome,F,36,United States,1,4,21,Tuesday,8,2,Sunday,3125.0,0
SEO,IE,M,38,United States,1,8,15,Saturday,10,24,Saturday,6333.333333333333,0
Direct,Chrome,F,43,United States,1,2,22,Sunday,4,25,Saturday,11000.0,0
Ads,Chrome,M,39,Japan,2,3,12,Thursday,6,8,Monday,1571.4285714285713,1
SEO,Chrome,F,38,Unknown Country,1,5,29,Friday,8,22,Saturday,6714.285714285715,0
Ads,Chrome,F,36,India,1,8,2,Sunday,10,3,Saturday,5800.0,0
Direct,IE,M,31,United States,1,7,25,Saturday,9,24,Thursday,6200.0,0
Ads,FireFox,M,18,Canada,1,4,7,Tuesday,6,7,Sunday,2400.0,0
SEO,IE,M,37,United States,1,7,6,Monday,8,10,Monday,3333.3333333333335,0
Ads,Chrome,M,23,United States,1,5,10,Sunday,5,18,Monday,53000.0,0
Direct,FireFox,M,23,Mexico,1,1,25,Sunday,4,1,Wednesday,8200.0,0
SEO,Chrome,M,37,United States,1,7,23,Thursday,9,14,Monday,18500.0,0
Ads,Safari,F,23,France,1,6,18,Thursday,9,21,Monday,2875.0,0
SEO,FireFox,M,21,Austria,1,2,6,Friday,3,3,Tuesday,17500.0,0
Ads,Chrome,M,29,Germany,1,5,15,Friday,8,21,Friday,6750.0,0
Direct,IE,M,24,Chile,1,5,14,Thursday,8,24,Monday,4750.0,0
Ads,Safari,F,30,United States,1,4,19,Sunday,5,28,Thursday,8666.666666666666,0
SEO,IE,F,18,Unknown Country,1,3,7,Saturday,6,9,Tuesday,4571.428571428572,0
SEO,Chrome,M,47,United States,1,6,10,Wednesday,9,17,Thursday,4875.0,0
SEO,Chrome,F,26,United States,1,2,13,Friday,5,21,Thursday,4000.0,0
Direct,Chrome,M,22,Brazil,1,6,20,Saturday,9,4,Friday,4166.666666666667,0
Ads,Chrome,M,39,China,1,3,22,Sunday,6,1,Monday,2333.3333333333335,0
Ads,Chrome,M,18,United States,1,5,28,Thursday,7,29,Wednesday,3600.0,0
SEO,Chrome,F,27,Australia,1,7,19,Sunday,9,12,Saturday,14250.0,0
SEO,Chrome,F,25,United States,1,8,16,Sunday,11,5,Thursday,6166.666666666667,0
Ads,IE,F,46,Unknown Country,1,2,3,Tuesday,4,26,Sunday,4142.857142857143,0
SEO,Chrome,F,27,United States,1,3,16,Monday,7,1,Wednesday,6666.666666666667,0
Ads,IE,M,39,Unknown Country,1,3,26,Thursday,4,15,Wednesday,18000.0,0
SEO,Chrome,F,30,Brazil,2,6,20,Saturday,10,17,Saturday,1888.888888888889,0
SEO,Chrome,M,29,China,1,3,14,Saturday,5,25,Monday,4666.666666666667,0
Ads,Chrome,F,26,China,1,3,2,Monday,3,15,Sunday,62000.0,1
Ads,FireFox,M,31,United States,1,3,24,Tuesday,4,27,Monday,7000.0,0
SEO,Chrome,M,41,Unknown Country,1,8,5,Wednesday,8,31,Monday,34500.0,0
SEO,IE,M,23,United Kingdom,1,2,26,Thursday,3,25,Wednesday,17000.0,0
Ads,Chrome,F,39,United States,18,1,4,Sunday,1,4,Sunday,inf,1
SEO,Chrome,M,32,Taiwan; Republic of China (ROC),1,2,8,Sunday,5,19,Tuesday,4250.0,0
Ads,Safari,F,27,United States,2,2,20,Friday,2,25,Wednesday,inf,1
SEO,Chrome,M,30,Germany,1,2,8,Sunday,3,14,Saturday,10666.666666666666,0
SEO,Chrome,M,34,Unknown Country,1,3,3,Tuesday,4,15,Wednesday,28000.0,0
SEO,Chrome,M,25,China,1,2,25,Wednesday,5,5,Tuesday,11200.0,0
Direct,Chrome,F,43,Viet Nam,1,5,10,Sunday,8,26,Wednesday,1555.5555555555557,0
SEO,Safari,M,30,United States,9,1,11,Sunday,1,11,Sunday,inf,1
Ads,Safari,M,24,Unknown Country,1,3,10,Tuesday,5,12,Tuesday,8200.0,0
Direct,FireFox,F,22,Canada,1,1,20,Tuesday,3,16,Monday,13250.0,0
SEO,FireFox,M,48,United States,2,4,28,Tuesday,8,5,Wednesday,1125.0,0
Ads,IE,F,25,United States,1,3,10,Tuesday,4,27,Monday,13750.0,0
Direct,FireFox,F,37,United States,1,3,12,Thursday,5,19,Tuesday,5400.0,0
Direct,IE,M,45,Canada,1,8,18,Tuesday,11,6,Friday,6333.333333333333,0
SEO,IE,F,38,United States,1,6,28,Sunday,7,30,Thursday,17000.0,0
SEO,Chrome,F,21,United States,1,3,19,Thursday,5,7,Thursday,12250.0,0
Ads,Safari,M,25,United States,1,3,16,Monday,5,14,Thursday,4800.0,0
Ads,IE,F,40,United States,1,1,23,Friday,4,21,Tuesday,3857.1428571428573,0
Ads,IE,M,29,Canada,1,7,15,Wednesday,10,22,Thursday,7750.0,0
Ads,Chrome,M,28,China,1,1,12,Monday,4,7,Tuesday,1285.7142857142858,1
SEO,IE,F,34,France,2,4,29,Wednesday,5,25,Monday,5000.0,0
Ads,IE,M,31,United States,1,4,18,Saturday,7,26,Sunday,1625.0,0
Direct,Safari,M,43,Russian Federation,1,4,20,Monday,7,17,Friday,1714.2857142857142,0
SEO,Safari,M,38,Italy,1,6,29,Monday,8,12,Wednesday,10000.0,0
SEO,Safari,M,20,Unknown Country,2,2,21,Saturday,4,9,Thursday,7000.0,0
Direct,Chrome,F,36,Canada,1,8,8,Saturday,11,17,Tuesday,5500.0,0
Ads,Safari,M,30,Italy,1,1,4,Sunday,4,27,Monday,9666.666666666666,0
Direct,Chrome,F,37,United States,1,4,27,Monday,7,9,Thursday,4000.0,0
Ads,Safari,M,27,China,1,7,26,Sunday,10,17,Saturday,4857.142857142857,0
Ads,Chrome,M,42,United States,1,1,17,Saturday,3,22,Sunday,6000.0,0
Ads,IE,F,36,China,1,6,14,Sunday,9,22,Tuesday,2750.0,0
Direct,IE,F,20,United States,1,6,9,Tuesday,9,13,Sunday,2000.0,0
SEO,IE,M,29,Unknown Country,1,4,12,Sunday,7,14,Tuesday,5142.857142857143,0
Ads,FireFox,M,22,United Kingdom,1,8,9,Sunday,9,18,Friday,12000.0,0
Ads,IE,M,35,Slovenia,1,6,17,Wednesday,8,7,Friday,5250.0,0
Direct,Chrome,F,43,Unknown Country,1,1,1,Thursday,1,8,Thursday,15000.0,0
Ads,Chrome,F,30,Japan,1,3,7,Saturday,5,2,Saturday,2750.0,0
Ads,IE,M,33,United States,1,6,6,Saturday,8,17,Monday,10166.666666666666,0
Ads,IE,F,46,Unknown Country,1,6,11,Thursday,7,19,Sunday,11000.0,0
SEO,Safari,M,20,United States,15,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,Safari,M,21,Unknown Country,1,5,17,Sunday,7,3,Friday,13000.0,0
Direct,FireFox,M,41,Korea Republic of,1,4,10,Friday,4,19,Sunday,51000.0,0
SEO,IE,M,35,Japan,2,8,3,Monday,9,12,Saturday,16333.333333333334,0
Direct,Opera,F,45,Japan,1,3,12,Thursday,5,14,Thursday,3200.0,0
SEO,FireFox,F,19,United States,1,3,29,Sunday,7,26,Sunday,3000.0,0
Ads,Chrome,M,26,United States,1,6,18,Thursday,7,21,Tuesday,15000.0,0
Direct,IE,F,39,United States,1,2,25,Wednesday,3,11,Wednesday,52000.0,0
Ads,Chrome,F,37,United Kingdom,1,5,31,Sunday,6,22,Monday,14500.0,1
SEO,FireFox,M,36,China,1,2,16,Monday,4,9,Thursday,5250.0,0
Ads,IE,M,51,Hong Kong,1,3,16,Monday,7,13,Monday,6222.222222222223,0
SEO,Opera,F,24,Turkey,2,2,6,Friday,2,9,Monday,inf,0
Ads,IE,F,41,United States,1,7,31,Friday,8,16,Sunday,43000.0,0
SEO,Opera,M,28,United States,1,1,6,Tuesday,2,23,Monday,5000.0,0
Ads,Chrome,M,27,United States,2,7,5,Sunday,10,4,Sunday,4714.285714285715,1
Ads,IE,M,18,China,10,1,4,Sunday,1,4,Sunday,inf,1
Ads,FireFox,F,36,United States,1,4,10,Friday,8,6,Thursday,1333.3333333333333,0
SEO,IE,F,37,Germany,1,3,14,Saturday,3,27,Friday,26000.0,0
SEO,IE,F,33,Unknown Country,1,2,20,Friday,5,22,Friday,2000.0,0
Ads,Chrome,M,19,United States,1,1,9,Friday,3,3,Tuesday,8750.0,0
Direct,Chrome,F,25,China,1,2,1,Sunday,5,17,Sunday,1125.0,0
SEO,Chrome,F,27,Unknown Country,2,3,3,Tuesday,5,17,Sunday,1500.0,0
SEO,Chrome,M,37,United States,1,6,27,Saturday,8,18,Tuesday,8250.0,0
Direct,Chrome,M,30,Romania,13,1,1,Thursday,1,1,Thursday,inf,1
Ads,Chrome,M,44,United States,6,1,7,Wednesday,1,7,Wednesday,inf,1
Ads,IE,M,34,United States,1,6,4,Thursday,9,23,Wednesday,1333.3333333333333,0
